Yr,Mon,EST. PALPAL A
1984,12,148.11499720201456
1985,1,156.17979854504756
1985,2,129.69837716843872
1985,3,103.15780637940682
1985,4,53.712590934527135
1985,5,29.918746502518186
1985,6,25.802350307778394
1985,7,24.71012870733072
1985,8,36.35254616675993
1985,9,62.75937325125909
1985,10,86.96692781197538
1985,11,125.85086737548968
1985,12,161.79395635142703
1986,1,166.08791270285394
1986,2,125.22372691662
1986,3,100.34073866815892
1986,4,51.79155008393957
1986,5,33.10089535534416
1986,6,20.896362618914377
1986,7,24.240738668158922
1986,8,37.60990486849469
1986,9,60.10844991606044
1986,10,94.6488528259653
1986,11,114.77951874650253
1986,12,156.19944040290991
1987,1,174.58489087856745
1987,2,134.02154448796864
1987,3,107.32199216564072
1987,4,56.323055400111926
1987,5,28.60318970341355
1987,6,19.064017907106884
1987,7,29.791717963066596
1987,8,36.18455512031337
1987,9,58.70548405148294
1987,10,90.27392277560156
1987,11,126.93150531617238
1987,12,154.69960828203696
1988,1,162.34085058757697
1988,2,131.39988808058203
1988,3,95.5424174594292
1988,4,57.312087297146064
1988,5,27.424566312255173
1988,6,22.31231113598209
1988,7,24.784443200895357
1988,8,35.225573587017344
1988,9,57.351818690542814
1988,10,94.88080581980972
1988,11,133.26440962507
1988,12,155.947229994404
1989,1,168.49647453833245
1989,2,132.82439843312815
1989,3,100.93827644096253
1989,4,60.86457750419697
1989,5,26.736877448237273
1989,6,21.50688304420817
1989,7,27.69210968102965
1989,8,36.05036373810856
1989,9,64.12747621712366
1989,10,100.18522663682147
1989,11,129.14655847789592
1989,12,146.19015109121432
1990,1,173.28483491885845
1990,2,117.83559037493004
1990,3,101.51488528259652
1990,4,54.96261891438166
1990,5,28.37867935086738
1990,6,19.503469501958588
1990,7,23.337157246782322
1990,8,40.70593172915501
1990,9,58.72372691662004
1990,10,93.188248461108
1990,11,124.55758254057076
1990,12,150.26038052602124
1991,1,162.70912143256857
1991,2,132.0305540011192
1991,3,100.47017347509792
1991,4,52.550699496362625
1991,5,31.72702853945159
1991,6,19.36620033575825
1991,7,23.54219362059317
1991,8,38.205092333519865
1991,9,59.54745383324006
1991,10,95.33200895355344
1991,11,118.17963066592054
1991,12,125.57392277560157
1992,1,167.02781197537774
1992,2,124.7306659205372
1992,3,101.54543928371572
1992,4,51.83189703413542
1992,5,30.695579182988254
1992,6,18.65640738668159
1992,7,21.33458310016788
1992,8,35.83777280358142
1992,9,62.39015109121432
1992,10,92.53749300503638
1992,11,121.66094012311137
1992,12,139.52042529378846
1993,1,162.888080581981
1993,2,139.26759932848347
1993,3,103.04023503077781
1993,4,59.73010632344713
1993,5,30.850979294907667
1993,6,24.175881365416906
1993,7,23.630498041410185
1993,8,41.84230554001119
1993,9,62.89272523782877
1993,10,92.90195858981532
1993,11,122.34392837157247
1993,12,156.7546726357023
1994,1,169.06457750419696
1994,2,122.9283715724678
1994,3,104.86916620033577
1994,4,57.39054280917739
1994,5,29.956183547845555
1994,6,23.594124230554
1994,7,25.144543928371576
1994,8,36.609736989367654
1994,9,60.088136541689984
1994,10,85.68729714605485
1994,11,117.59423614997205
1994,12,149.34079462786795
1995,1,159.53631785114717
1995,2,123.87862339115837
1995,3,101.65422495803024
1995,4,60.37437045327364
1995,5,30.01404588696139
1995,6,22.17582540570789
1995,7,23.091102406267485
1995,8,35.671628427532184
1995,9,62.43088975937325
1995,10,91.62909904868496
1995,11,128.94611080022386
1995,12,164.89557918298829
1996,1,168.28114157806385
1996,2,128.32590934527144
1996,3,105.17476217123672
1996,4,54.71952993844433
1996,5,29.979406827084503
1996,6,17.582540570789032
1996,7,25.050811415780643
1996,8,40.29093452714047
1996,9,67.54700615556798
1996,10,93.9575825405708
1996,11,132.41634023503082
1996,12,149.98919977616123
1997,1,160.32506994963626
1997,2,131.87576944599888
1997,3,103.15193060996083
1997,4,64.83626189143816
1997,5,32.467655288192496
1997,6,23.300055959709013
1997,7,25.20923335198657
1997,8,37.789815332960266
1997,9,61.571460548405156
1997,10,84.7964745383324
1997,11,113.10402909904872
1997,12,148.12937884723002
1998,1,169.05422495803026
1998,2,119.47476217123675
1998,3,101.80257414661445
1998,4,55.32797985450476
1998,5,32.411247901510926
