Yr,Mon,EST. CHACAY A
1998,5,33.56046511627908
1998,6,20.402325581395353
1998,7,24.102325581395352
1998,8,37.98914728682171
1998,9,61.24651162790699
1998,10,107.28682170542636
1998,11,129.96356589147288
1998,12,161.4968992248062
1999,1,170.2937984496124
1999,2,128.95348837209303
1999,3,97.21162790697677
1999,4,59.72403100775195
1999,5,33.03875968992248
1999,6,21.93720930232558
1999,7,23.13643410852713
1999,8,41.25968992248062
1999,9,60.64728682170542
1999,10,93.32093023255817
1999,11,125.76434108527133
1999,12,154.1968992248062
2000,1,169.37209302325581
2000,2,116.96666666666668
2000,3,101.31240310077521
2000,4,58.15736434108527
2000,5,28.83798449612403
2000,6,27.33798449612403
2000,7,23.13643410852713
2000,8,39.30387596899225
2000,9,59.54728682170543
2000,10,94.37751937984495
2000,11,122.06434108527134
2000,12,159.45348837209306
2001,1,162.42945736434112
2001,2,131.5186046511628
2001,3,101.75581395348837
2001,4,58.45736434108528
2001,5,31.638759689922484
2001,6,20.679844961240313
2001,7,31.938759689922477
2001,8,40.281395348837215
2001,9,59.89069767441861
2001,10,96.14341085271316
2001,11,120.84186046511627
2001,12,169.11782945736434
2002,1,165.75038759689926
2002,2,123.5527131782946
2002,3,94.46976744186048
2002,4,57.057364341085275
2002,5,30.66046511627908
2002,6,19.35813953488372
2002,7,24.859689922480623
2002,8,37.28139534883721
2002,9,61.16976744186047
2002,10,88.97829457364342
2002,11,118.22093023255812
2002,12,147.48914728682172
2003,1,170.1387596899225
2003,2,131.61937984496126
2003,3,106.31162790697675
2003,4,58.57984496124032
2003,5,30.537984496124036
2003,6,27.215503875968995
2003,7,24.63643410852713
2003,8,39.88992248062016
2003,9,64.86976744186046
2003,10,101.7
2003,11,125.82093023255811
2003,12,152.29922480620155
2004,1,170.92790697674423
2004,2,125.0527131782946
2004,3,104.67829457364343
2004,4,57.05813953488372
2004,5,28.948062015503883
2004,6,22.43720930232558
2004,7,27.802325581395355
2004,8,39.281395348837215
2004,9,65.1906976744186
2004,10,85.30077519379846
2004,11,110.34263565891474
2004,12,152.98837209302326
2005,1,171.01627906976748
2005,2,125.60852713178298
2005,3,101.83410852713178
2005,4,61.579069767441865
2005,5,32.31705426356589
2005,6,21.23720930232558
2005,7,27.359689922480626
2005,8,36.990697674418605
2005,9,61.468217054263576
2005,10,91.69922480620157
2005,11,121.4217054263566
2005,12,150.48837209302326
2006,1,169.00775193798452
2006,2,125.03178294573645
2006,3,104.53410852713178
2006,4,61.54573643410854
2006,5,31.237984496124035
2006,6,22.93798449612403
2006,7,27.960465116279067
2006,8,42.381395348837216
2006,9,64.6248062015504
2006,10,89.27829457364342
2006,11,126.88527131782946
2006,12,149.88914728682172
