Sources and Destinations,Decrease in Storage for Embalse El Bato,Increase in Storage for Embalse El Bato,Inflow from Upstream,Net Evaporation,Outflow to Acuifero_3,Outflow to Downstream,Sum
ago-15,,-0.884478,1.19733,-0.0141633,-0.298686,0,7.97973E-17
sept-15,,-3.06244,3.40023,-0.0291528,-0.308642,0,3.92048E-16
oct-15,,-0.859471,1.26182,-0.103665,-0.298686,0,5.55112E-17
nov-15,,-0.766497,2.06212,-0.144139,-0.308642,-0.84284,-9.4369E-16
dic-15,,-3.76694,4.82102,-0.140918,-0.298686,-0.614477,-2.77556E-16
ene-16,,0,1.91607,-0.467036,-0.298686,-1.15034,-1.66533E-16
feb-16,0.848621,,0.688012,-0.262736,-0.319285,-0.954612,5.55112E-16
mar-16,0.521817,,0.505835,-0.094204,-0.298686,-0.634763,6.80012E-16
abr-16,,-0.756706,1.23503,-0.16968,-0.308642,0,3.33067E-16
may-16,,-0.583393,1.84506,-0.153125,-0.298686,-0.809856,3.88578E-16
jun-16,,0,2.16951,-0.297594,-0.308642,-1.56328,-3.33067E-16
jul-16,,0,1.84954,-0.338564,-0.298686,-1.21229,-2.77556E-16
ago-16,,0,2.17146,-0.604611,-0.298686,-1.26816,-1.05471E-15
sept-16,,0,2.70458,-0.517284,-0.308642,-1.87865,-9.4369E-16
oct-16,,0,3.08566,-0.617705,-0.298686,-2.16927,-4.996E-16
nov-16,,0,4.69351,-0.705085,-0.308642,-3.67978,5.55112E-17
dic-16,,0,3.00475,-0.73501,-0.298686,-1.97105,-8.32667E-16
ene-17,,0,2.14357,-0.193902,-0.298686,-1.65098,8.04912E-16
feb-17,0.088741,,1.45525,-0.538719,-0.330688,-0.67458,6.80012E-16
mar-17,0.103589,,1.09477,-0.369164,-0.298686,-0.530507,-5.68989E-16
abr-17,,-0.00843481,0.967354,-0.375153,-0.308642,-0.275124,7.26849E-16
may-17,,-0.17558,1.49226,-0.190112,-0.298686,-0.827881,-5.27356E-16
jun-17,,0,1.93842,-0.339063,-0.308642,-1.29071,4.44089E-16
jul-17,,0,2.09278,-0.456747,-0.298686,-1.33734,-8.88178E-16
ago-17,,0,1.59449,-0.536503,-0.298686,-0.759302,1.05471E-15
sept-17,,0,2.0728,-0.681289,-0.308642,-1.08287,4.996E-16
oct-17,,0,2.56062,-0.706825,-0.298686,-1.55511,-8.32667E-16
nov-17,,0,2.76813,-0.564402,-0.308642,-1.89509,4.996E-16
dic-17,,0,2.36904,-0.341585,-0.298686,-1.72877,5.55112E-17
ene-18,,0,1.54937,-0.389871,-0.298686,-0.860815,-1.72085E-15
feb-18,0.382452,,0.999544,-0.248979,-0.330688,-0.80233,4.44089E-16
mar-18,0.18963,,0.857645,-0.154182,-0.298686,-0.594408,-1.66533E-16
abr-18,,-0.217707,0.873363,-0.0392828,-0.308642,-0.307732,7.21645E-16
may-18,,-0.324387,0.868883,-0.21276,-0.298686,-0.0330503,1.44329E-15
jun-18,,0,1.08188,-0.315397,-0.308642,-0.457837,6.66134E-16
jul-18,,0,1.00675,-0.405066,-0.298686,-0.302995,-5.55112E-17
ago-18,0.0390902,,0.840532,-0.580936,-0.298686,0,-6.80012E-16
sept-18,0.131443,,0.854474,-0.565231,-0.308642,-0.112043,-9.71445E-16
oct-18,0.24407,,0.988968,-0.546845,-0.298686,-0.387507,4.44089E-16
nov-18,0.656279,,0.775376,-0.328873,-0.308642,-0.79414,1.66533E-15
dic-18,0.95506,,0.580323,-0.225623,-0.298686,-1.01107,-6.66134E-16
ene-19,0.92584,,0.468278,-0.114312,-0.298686,-0.981121,-6.93889E-17
feb-19,0.767752,,0.495316,-0.0653319,-0.330688,-0.867049,4.16334E-16
mar-19,0.452223,,0.508251,-0.0179749,-0.298686,-0.643814,-6.03684E-16
abr-19,0.118173,,0.554431,-0.0345546,-0.308642,-0.329407,-3.46945E-16
may-19,,-0.274713,0.617034,-0.0436354,-0.298686,0,-1.04083E-16
jun-19,,-0.202349,0.577204,-0.066213,-0.308642,0,-5.55112E-16
jul-19,,-0.106855,0.527783,-0.0829432,-0.298686,-0.0392984,5.6205E-16
ago-19,0.0557178,,0.499584,-0.0839057,-0.298686,-0.17271,5.68989E-16
sept-19,0.179486,,0.444319,-0.122501,-0.308642,-0.192663,-2.35922E-16
oct-19,0.572584,,0.36239,-0.11589,-0.298686,-0.520398,-3.05311E-16
nov-19,0.852864,,0.273666,-0.0216976,-0.308642,-0.79619,-1.83881E-16
dic-19,1.01762,,0.192491,-0.016271,-0.298686,-0.895158,3.67761E-16
ene-20,0.971923,,0.172566,-0.0154172,-0.298686,-0.830386,-9.88792E-17
feb-20,0.854417,,0.159448,-0.00466256,-0.319285,-0.689918,-2.00361E-16
mar-20,0.682774,,0.169185,-0.00314758,-0.298686,-0.550125,3.38271E-17
abr-20,0.501863,,0.214655,-0.00494433,-0.308642,-0.402932,-8.23994E-17
may-20,0.158628,,0.261469,-0.00267991,-0.298686,-0.118731,2.47198E-17
jun-20,,-0.142843,0.393938,-0.00639718,-0.244698,0,-8.67362E-19
jul-20,,-0.128767,0.439567,-0.0121143,-0.298686,0,-9.54098E-17
ago-20,0.0837898,,0.339111,-0.0215717,-0.298686,-0.102643,0
sept-20,0.378135,,0.269793,-0.0239546,-0.308642,-0.315331,-5.20417E-17
oct-20,0.0481942,,0.272103,-0.00254364,-0.0577274,-0.260026,1.73472E-18
nov-20,,-0.0117698,0.251396,-0.000484977,-0.0119944,-0.227147,1.82146E-17
dic-20,,-0.0101886,0.202955,-0.000398182,-0.0230688,-0.1693,-9.26993E-18
ene-21,,-0.00206131,0.164657,-0.00103778,-0.0326178,-0.128941,-2.34188E-17
feb-21,0.00785247,,0.154616,-0.00186237,-0.0376813,-0.122925,-3.25261E-18
mar-21,0.00633051,,0.16256,-0.00207405,-0.0265503,-0.140266,1.0842E-17
