,0,1,2,3,4,5,6,7,8
2004-06-22,0.0,0.0,0.0,0.0,0.11563364028538471,0.11611984440261214,0.03251277802776335,0.008606387168355123,0.008606387168355123
2004-06-23,0.11891256978637293,0.11891256978637293,0.11891256978637293,0.0,0.16515292076146437,0.18572584823721258,0.12147611984334614,0.11800797654516881,0.11800797654516881
2004-06-24,0.0,0.0,0.0,0.0,0.0,0.012533474559655004,4.9981516657981054e-05,0.0,0.0
2004-06-25,0.0,0.0,0.0,0.0,0.008757217160418483,0.10345630884202944,0.11079322188492541,0.010658194155271944,0.010658194155271944
2004-06-26,0.622131735957854,0.622131735957854,0.622131735957854,0.0,0.01092098175652326,0.16215549967803153,0.43845644916443144,0.595126205241436,0.595126205241436
2004-06-27,0.5255702964046544,0.5255702964046544,0.5255702964046544,0.0,0.0,0.07828322072926878,0.19952624852596948,0.40049617519663677,0.40049617519663677
2004-06-28,0.31392153940702733,0.31392153940702733,0.31392153940702733,0.0,0.000569717605010649,0.0751962072203293,0.1733799361676749,0.1629356353757214,0.1629356353757214
2004-06-29,0.07988077924962629,0.07988077924962629,0.07988077924962629,0.0,0.0,0.0043844786261636,0.03196545799491004,0.07016388240081728,0.07016388240081728
2004-06-30,0.11338535264918677,0.11338535264918677,0.11338535264918677,0.0,0.0,0.03848564237575579,0.09009238731201576,0.08540430199770288,0.08540430199770288
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0012281593183879004,0.010466115720399021,7.244111915234475e-05,7.244111915234475e-05
2004-07-02,0.0,0.0,0.0,0.0,0.0,0.022099911701757253,0.04051089730361906,0.010848666885726485,0.010848666885726485
2004-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-04,0.0,0.0,0.0,0.0,0.0,0.009701373949544196,0.012794585069757126,,
2004-07-05,0.0,0.0,0.0,0.0,0.0,0.013469231770551392,0.025048605571923302,0.002717654110596289,0.002717654110596289
2004-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0017728338261318222,0.009503106800814386,0.009503106800814386
2004-07-07,0.0,0.0,0.0,0.0,0.0,0.013828395915550564,0.016789466794054426,0.00017609923785547401,0.00017609923785547401
2004-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-09,0.0,0.0,0.0,0.0,0.0,0.009297225033651314,0.011738854379729293,0.00011207835148956818,0.00011207835148956818
2004-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0020400036994254246,0.0,0.0
2004-07-11,0.0,0.0,0.0,0.0,0.0,0.004211744726244863,0.005502050620667408,0.00010288617740668539,0.00010288617740668539
2004-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-14,0.0,0.0,0.0,0.0,0.0,0.0007847676875395245,0.0049185955607446855,0.025412690437446213,0.025412690437446213
2004-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-16,0.0,0.0,0.0,0.0,0.0,0.004147855551456827,0.0021731570323786854,0.00010855462697868793,0.00010855462697868793
2004-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-18,0.0,0.0,0.0,0.0,0.0,0.003714896661683288,0.00037182887380267566,9.922550577441039e-05,9.922550577441039e-05
2004-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-21,0.4986837108929952,0.4986837108929952,0.4986837108929952,0.4843491315841675,0.47153626975967483,0.4648229178258512,0.47036735723380424,0.47990842515288656,0.47990842515288656
2004-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-23,0.6708216322095769,0.6708216322095769,0.6708216322095769,0.8017203211784363,0.7848415260082353,0.7359828298664234,0.6643491279980174,0.6334749326229522,0.6334749326229522
2004-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-25,0.0,0.0,0.0,0.0,0.18812703693898644,0.24796568369195293,0.15066979689720547,0.020660157899150464,0.020660157899150464
2004-07-26,0.5220714394460645,0.5220714394460645,0.5220714394460645,0.557741641998291,0.6049785872007739,0.2770223222603328,0.1474754099693116,0.18782380732652026,0.18782380732652026
2004-07-27,0.430211005155106,0.430211005155106,0.430211005155106,0.0,0.4647691838263167,0.4789528038842673,0.4624969634389038,0.42530940872127737,0.42530940872127737
2004-07-28,0.6896200636674088,0.6896200636674088,0.6896200636674088,0.7292087078094482,0.7228934311709883,0.6953720714878611,0.685092560706907,0.686898664700783,0.686898664700783
2004-07-29,0.7182397277731644,0.7182397277731644,0.7182397277731644,0.6780171394348145,0.7606105798560477,0.7525670528712874,0.7407525098723124,0.7355125048881556,0.7355125048881556
2004-07-30,0.7761371832842018,0.7761371832842018,0.7761371832842018,0.748184859752655,0.7625003291453573,0.7818094140082463,0.7778992808909396,0.777291377105424,0.777291377105424
2004-07-31,0.747321195072598,0.747321195072598,0.747321195072598,0.0,0.620599232740863,0.7572352861557158,0.767384680460663,0.7537512170322022,0.7537512170322022
2004-08-01,0.7846154901716443,0.7846154901716443,0.7846154901716443,0.0,0.5597988805461723,0.7471069449493469,0.8021768837499795,0.7781992294126913,0.7781992294126913
2004-08-02,0.5292907113220258,0.5292907113220258,0.5292907113220258,0.0,0.24120462503688664,0.6120040022126051,0.6156996599023143,0.49354758743299765,0.49354758743299765
2004-08-03,0.49224756788789176,0.49224756788789176,0.49224756788789176,0.4766932725906372,0.4789445359292348,0.5544293542730777,0.6227121382099274,0.5916288787876255,0.5916288787876255
2004-08-04,0.6500215941702412,0.6500215941702412,0.6500215941702412,0.0,0.12041140993237237,0.1784242808157739,0.38540494429731986,0.5526542140531501,0.5526542140531501
2004-08-05,0.6329769234211123,0.6329769234211123,0.6329769234211123,0.7591347694396973,0.7095049355882994,0.6864230233148482,0.6842995961671657,0.628581855979804,0.628581855979804
2004-08-06,0.5864836214578639,0.5864836214578639,0.5864836214578639,0.7737851142883301,0.7645092944255834,0.7177889838068274,0.6786162363622562,0.6086371624288979,0.6086371624288979
2004-08-07,0.5169249023610387,0.5169249023610387,0.5169249023610387,0.0,0.630986592089596,0.7156982600973737,0.6560264181532168,0.5965492043401599,0.5965492043401599
2004-08-08,0.5074057802122238,0.5074057802122238,0.5074057802122238,0.7746478915214539,0.47993836577162674,0.6679390573296433,0.5019820593504982,0.33377589829578463,0.33377589829578463
2004-08-09,0.42073178117038207,0.42073178117038207,0.42073178117038207,0.0,0.5802866293733132,0.5432845196915104,0.3982602412959974,0.2604765413702864,0.2604765413702864
2004-08-10,0.4849215407817683,0.4849215407817683,0.4849215407817683,0.0,0.4683501779534345,0.6127999406144037,0.4955555719711467,0.17032613440032096,0.17032613440032096
