Transmission Link,Transmission Link from AC_01 to Veg_Riparia AC01,Transmission Link from AC_02 to Agua Potable_AC02,Transmission Link from AC_02 to Veg_Riparia AC02,Transmission Link from AC_03 to Agua Potable_AC03,Transmission Link from AC_03 to Veg_Riparia AC_03,Transmission Link from Withdrawal Node 1 to ZR_Gavino_ANU,Transmission Link from Withdrawal Node 10 to ZR_Cunlagua_FRU,Transmission Link from Withdrawal Node 11 to ZR_Los Guindos_ANU,Transmission Link from Withdrawal Node 12 to ZR_Huanque_FRU,Transmission Link from Withdrawal Node 13 to ZR_Chanar Chalinga_ANU,Transmission Link from Withdrawal Node 14 to ZR_Arboleda Grande_FRU,Transmission Link from Withdrawal Node 15 to ZR_Chalinga_FRU,Transmission Link from Withdrawal Node 16 to ZR_Tebal_FRU,Transmission Link from Withdrawal Node 17 to ZR_Chilcas_FRU,Transmission Link from Withdrawal Node 2 to ZR_Destiladera_ANU,Transmission Link from Withdrawal Node 20 to ZR_Batuco Chalinga_ANU,Transmission Link from Withdrawal Node 21 to ZR_Molino de Zapallar_ANU,Transmission Link from Withdrawal Node 22 to ZR_Toma Ranque_ANU,Transmission Link from Withdrawal Node 23 to ZR_Palquial_ANU,Transmission Link from Withdrawal Node 24 to ZR_Valentino_ANU,Transmission Link from Withdrawal Node 25 to ZR_Maravillal_ANU,Transmission Link from Withdrawal Node 26 to ZR_Alameda_ANU,Transmission Link from Withdrawal Node 27 to ZR_Cunlagua_ANU,Transmission Link from Withdrawal Node 29 to ZR_Huanque_ANU,Transmission Link from Withdrawal Node 3 to ZR_Batuco Chalinga_FRU,Transmission Link from Withdrawal Node 31 to ZR_Arboleda Grande_ANU,Transmission Link from Withdrawal Node 32 to ZR_Chalinga_ANU,Transmission Link from Withdrawal Node 33 to ZR_Tebal_ANU,Transmission Link from Withdrawal Node 34 to ZR_Chilcas_ANU,Transmission Link from Withdrawal Node 4 to ZR_Toma Ranque_FRU,Transmission Link from Withdrawal Node 5 to ZR_Molino de Zapallar_FRU,Transmission Link from Withdrawal Node 6 to ZR_Palquial_FRU,Transmission Link from Withdrawal Node 7 to ZR_Valentino_FRU,Transmission Link from Withdrawal Node 8 to ZR_Maravillal_FRU,Transmission Link from Withdrawal Node 9 to ZR_Alameda_FRU
oct-12,0.0075871,0.00774238,0.0092129,0.0122661,0.0092129,0,0,0.00598652,0,0.00322845,0,0,0,0,0,0.0336234,0.01229,0.00362173,0.0396168,0.000331424,0.00323884,0.003616,0.0223454,0.0172677,0.00420752,0.0170648,0.0139129,0.0516565,0.0234039,0,0,0,0,0,0
nov-12,0.00767667,0.00800046,0.00921667,0.012675,0.00921667,0,0,0.00594696,0,0.0065079,0,0,0,0,0,0.0463453,0.0229586,0.00589538,0.0793007,0.000720993,0.00518427,0.008071,0.0335579,0.0201007,0.00673203,0.0163117,0.0209274,0.0520742,0.025487,0,0,0,0,0,0
dic-12,0.00718065,0.00774238,0.00849032,0.0122661,0.00849032,0,0,0.00596678,0,0.00766855,0,0,0,0,0,0.0436176,0.0230351,0.00591502,0.0919269,0.000933858,0.00601579,0.00970308,0.0336697,0.0201677,0.00963657,0.016366,0.0209971,0.0522477,0.0255719,0,0,0,0,0,0
ene-13,0.00684194,0.00774238,0.00799355,0.0122661,0.00799355,0,0,0.00546704,0,0.00701466,0,0,0,0,0,0.0349499,0.0211058,0.00541962,0.0842278,0.000933858,0.00610983,0.0090526,0.0308497,0.0184786,0.0138441,0.0149953,0.0192385,0.0478718,0.0234302,0,0,0,0,0,0
feb-13,0.007225,0.00857192,0.008175,0.0135804,0.008175,0,0,0.00521351,0,0.00413812,0,0,0,0,0,0.0280482,0.0189762,0.00516829,0.0678764,0.000811117,0.00546962,0.00542769,0.0294191,0.0176217,0.018483,0.0142999,0.0183464,0.0456518,0.0223436,0,0,0,0,0,0
mar-13,0.00609677,0.00774238,0.00681935,0.0122661,0.00681935,0,0,0.0021767,0,0.00211965,0,0,0,0,0,0.0242993,0.0117993,0.00332007,0.0456469,0.000557911,0.0042388,0.00316919,0.0198982,0.0117307,0.0219877,0.0142249,0.0121612,0.0359819,0.0165995,0,0,0,0,0,0
abr-13,0.0084,0.00800046,0.0107333,0.012675,0.0107333,0,0,0.00153398,0,0.00120827,0,0,0,0,0,0.0221428,0.00720861,0.00189108,0.027278,0.000308997,0.00267199,0.00185607,0.0119669,0.00735966,0.0234218,0.0112897,0.0071477,0.0217514,0.00945804,0,0,0,0,0,0
may-13,0.00808387,0.00774238,0.0103871,0.0122661,0.0103871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111296,0,0,0,0,0,0,0,0,0,0
jun-13,0.00828333,0.00800046,0.01057,0.012675,0.01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256524,0,0,0,0.0154276,0,0,0,0,0,0,0,0,0,0
jul-13,0.00794839,0.00774238,0.0100258,0.0122661,0.0100258,0,0,0.00129101,0,0.000560661,0,0,0,0,0,0.00623829,0.00216383,0.000594195,0.00737848,4.30824E-05,0.000713955,0.000687123,0.00411466,0.00339902,0.0097723,0.00348726,0.00243361,0.0101874,0.00395666,0,0,0,0,0,0
