Yr,Mon,Aportante 23
2016,6,6.269393239497276
2016,7,5.996622962805702
2016,8,7.352866117554981
2016,9,10.465258469734238
2016,10,10.92945967233311
2016,11,14.65437567651611
2016,12,16.223247969057127
2017,1,19.612468031071046
2017,2,18.671908741443758
2017,3,14.931093366319487
2017,4,11.263951269246775
2017,5,7.675752742524708
2017,6,4.824611509003489
2017,7,4.484334989338834
2017,8,4.901399891768051
2017,9,7.476656344426317
2017,10,8.849628170605058
2017,11,13.005324320245393
2017,12,17.16041609421876
2018,1,18.351090334611968
2018,2,18.758226339157034
2018,3,14.62259919229308
2018,4,11.644940091795888
2018,5,8.613820927673657
2018,6,4.586852322953803
2018,7,4.998764278842202
2018,8,6.000134856743898
2018,9,8.564395722786173
2018,10,9.670561459921771
2018,11,13.011585510383213
2018,12,16.10283303320773
2019,1,17.64396562661466
2019,2,19.12707644101596
2019,3,15.508019069506929
2019,4,12.594056098564465
2019,5,8.58175660382426
2019,6,5.40511961791475
2019,7,5.192758443591515
2019,8,6.858128397534699
2019,9,7.704053500547218
2019,10,9.724500178369624
2019,11,14.392277428794102
2019,12,17.064836463351185
2020,1,19.27417588884856
2020,2,18.322113788603986
2020,3,17.15584251483068
2020,4,13.428651514071362
2020,5,9.752019795855233
2020,6,5.452153394451273
2020,7,4.822169961958878
2020,8,5.446327290327247
2020,9,7.961579551984187
2020,10,10.585853275488887
2020,11,14.54092936434995
2020,12,16.23318168058927
2021,1,17.93720127784951
2021,2,17.34524316218136
2021,3,16.170548885047197
2021,4,12.587985666278598
2021,5,8.215086510117544
2021,6,6.9579468006917295
2021,7,5.654931368096982
2021,8,6.4686773030076665
2021,9,7.6168882836954594
2021,10,10.666900739605524
2021,11,14.283576290037274
2021,12,17.709268644543897
2022,1,17.49355212142609
2022,2,17.656311871372395
2022,3,15.052092786510514
2022,4,10.34323813623405
2022,5,7.751806518335059
2022,6,5.512446326634745
2022,7,3.9894104005992403
2022,8,5.822265816047775
2022,9,7.6504734014163205
2022,10,10.043776982847817
2022,11,15.665306040302312
2022,12,17.898669763964506
2023,1,18.57291759221914
2023,2,19.56776468163065
2023,3,17.243708391226107
2023,4,13.062442913163238
2023,5,8.94057148015196
2023,6,7.459882318816426
2023,7,6.178833525268146
2023,8,6.919683207391472
2023,9,7.033770682986869
2023,10,8.807870174262519
