Yr,Mon,EST. PALPAL C
2010,7,313.2676728274322
2010,8,213.84490135169563
2010,9,30.635218842076338
2010,10,87.34483516319236
2010,11,48.814553696222006
2010,12,66.55485385432218
2011,1,66.51270038788101
2011,2,42.167551518018435
2011,3,76.40569913009442
2011,4,149.9275558998814
2011,5,56.555080249803936
2011,6,343.300529674373
2011,7,274.82634483935834
2011,8,401.72998012448056
2011,9,143.5100151644391
2011,10,45.19706454846588
2011,11,64.09688589220487
2011,12,4.1539884807237595
2012,1,46.34719962957374
2012,2,167.92581628801767
2012,3,23.563154129891867
2012,4,27.110266060276526
2012,5,294.68078942431714
2012,6,343.9200793213486
2012,7,98.27690189052366
2012,8,151.03989416216302
2012,9,43.386942002556715
2012,10,94.58604432306831
2012,11,95.34058149399452
2012,12,221.94910516619944
2013,1,29.327386289420456
2013,2,71.43737758586379
2013,3,24.34600570429625
2013,4,35.22439935773788
2013,5,315.7999869880435
2013,6,248.2355690623691
2013,7,230.7658307655145
2013,8,242.81911901000765
2013,9,196.88307304425
2013,10,93.88604678321167
2013,11,38.015633516725465
2013,12,0.49719840380560737
2014,1,34.89848996356728
2014,2,32.66144365028837
2014,3,86.18292305456269
2014,4,51.79123302417955
2014,5,230.49007718575348
2014,6,396.3693376144603
2014,7,365.85586694031446
2014,8,280.1264855479473
2014,9,272.18102385327177
2014,10,62.65504544696636
2014,11,20.62404455742833
2014,12,40.224618319769455
2015,1,0.7803233730359581
2015,2,3.0308832159159156
2015,3,10.124983178517052
2015,4,41.74887567086806
2015,5,144.74882126351807
2015,6,296.8219197466008
2015,7,398.05151968643526
2015,8,446.6114688115241
2015,9,157.8673126823138
2015,10,171.4078796134404
2015,11,57.07493866323928
2015,12,19.967975576088786
2016,1,26.44715456217482
2016,2,10.09915211188037
2016,3,12.002411791246725
2016,4,222.82265267926257
2016,5,92.62364542720734
2016,6,17.76459176744283
2016,7,304.2742790784187
2016,8,195.9410322529383
2016,9,54.102198804482676
2016,10,176.79145719742172
2016,11,39.197334494260254
2016,12,65.92824421798508
2017,1,23.92950141719785
2017,2,34.50622590942498
2017,3,52.05718976245161
2017,4,92.4689476339505
2017,5,195.42754827124122
2017,6,354.46473291896217
2017,7,203.45138424980198
2017,8,382.0268143194481
2017,9,135.02788035002055
2017,10,207.13318892844418
2017,11,101.58964564512011
2017,12,26.88477799365541
2018,1,37.634607856455524
2018,2,25.07666971493348
2018,3,96.36338581785277
2018,4,163.11315156418627
2018,5,168.33822950175212
2018,6,230.2796379610485
2018,7,138.17936040255466
2018,8,167.14598538346036
2018,9,312.59979803154545
2018,10,205.16202059740405
2018,11,119.05510158361994
2018,12,48.56657487498275
2019,1,59.1148694035176
2019,2,18.97631886321712
2019,3,21.865845087557737
2019,4,30.030884155882156
2019,5,273.86636665388704
2019,6,470.32876807108374
2019,7,201.24352512313425
2019,8,141.83960461219132
2019,9,118.41430586822818
2019,10,103.0650333857283
2019,11,38.09123664077247
2019,12,16.770505165440337
2020,1,26.045872345862037
2020,2,12.12214714624643
2020,3,7.627452694896485
2020,4,71.73143009488841
2020,5,87.8060896636688
2020,6,474.8731347291949
2020,7,409.59787821456837
2020,8,157.1689012744563
2020,9,66.9399459306115
2020,10,41.3770646975029
2020,11,16.865273819632183
2020,12,50.77531213943252
2021,1,129.536416813928
2021,2,15.948069041503283
2021,3,20.442901759826086
2021,4,50.83355242257292
2021,5,238.1060283510344
2021,6,243.29552710077323
2021,7,78.32241745580812
2021,8,293.91066349529626
2021,9,95.37310461490422
2021,10,42.24735647476844
2021,11,21.851135225072873
2021,12,18.640168798014635
2022,1,29.853198200396356
2022,2,22.3139555287696
2022,3,25.667056692473494
2022,4,307.34598862666
2022,5,110.56154204405925
2022,6,267.6653811074677
2022,7,402.39024003464607
2022,8,194.75216539639405
2022,9,66.896087277302
2022,10,89.21875807784396
2022,11,50.442518642998905
2022,12,10.633443307441475
2023,1,14.596000606302988
2023,2,0.5487187189585973
2023,3,7.561218208111477
2023,4,122.75681351884288
2023,5,168.2473996123875
2023,6,668.3979400832417
2023,7,301.8580687171171
2023,8,461.058404715804
2023,9,338.5372572391485
2023,10,86.96852861639945
2023,11,13.8470762780419
