,Aportante 20
2017-08-31,7.189889034148223
2017-09-30,9.224210611979174
2017-10-31,10.93778725900961
2017-11-30,14.456337483723985
2017-12-31,17.878757402973804
2018-01-31,18.776132694367448
2018-02-28,18.975394548688655
2018-03-31,15.345031541393666
2018-04-30,11.945465087890625
2018-05-31,9.541222160093241
2018-06-30,6.4207305908203125
2018-07-31,6.784602798954154
2018-08-31,7.803644783266179
2018-09-30,10.26702982584635
2018-10-31,11.402634946761623
2018-11-30,14.578028361002623
2018-12-31,17.32772118353074
2019-01-31,18.240940020161304
2019-02-28,19.266242327008968
2019-03-31,15.666154233870998
2019-04-30,12.668490600585983
2019-05-31,9.913429309475816
2019-06-30,7.657309977213572
2019-07-31,7.337501575100816
2019-08-31,8.486884135584717
2019-09-30,9.541662597656284
2019-10-31,11.592150091355848
2019-11-30,15.624364217122434
2019-12-31,17.892950045677935
2020-01-31,19.622470781880054
2020-02-29,18.727823402141723
2020-03-31,17.320466859879048
2020-04-30,13.707620239257835
2020-05-31,10.638782919606854
2020-06-30,7.416110229492233
2020-07-31,6.560194905598962
