Yr,Mon,RIO LARQUI C
1995,3,102.40211345939932
1995,4,62.57185761957733
1995,5,30.73403781979978
1995,6,22.46429365962181
1995,7,22.86774193548387
1995,8,35.89599555061179
1995,9,62.254505005561754
1995,10,91.61557285873197
1995,11,128.71957730812014
1995,12,161.65995550611794
1996,1,170.7860956618465
1996,2,129.4494994438265
1996,3,105.05661846496108
1996,4,55.99488320355952
1996,5,30.44961067853169
1996,6,17.69210233592881
1996,7,24.874749721913243
1996,8,40.78565072302558
1996,9,66.9741935483871
1996,10,94.24694104560622
1996,11,132.22246941045609
1996,12,148.99265850945494
1997,1,163.96484983314792
1997,2,131.8487208008899
1997,3,102.86952169076751
1997,4,65.82825361512792
1997,5,33.1523915461624
1997,6,22.635261401557287
1997,7,24.90689655172414
1997,8,38.136929922135714
1997,9,61.51078976640713
1997,10,85.03815350389321
1997,11,113.92469410456066
1997,12,148.16896551724136
1998,1,170.87986651835377
1998,2,119.72614015572859
1998,3,101.53114571746386
1998,4,56.09822024471636
1998,5,32.606117908787546
1998,6,19.984538375973308
1998,7,23.467074527252503
1998,8,37.79466073414906
1998,9,60.52958843159067
1998,10,107.14949944382647
1998,11,130.58765294771968
1998,12,162.71412680756399
1999,1,171.62958843159066
1999,2,130.74972191323695
1999,3,97.62491657397108
1999,4,59.04182424916573
1999,5,32.02291434927698
1999,6,21.345050055617357
1999,7,22.480867630700782
1999,8,40.64671857619578
1999,9,59.84393770856508
1999,10,93.09532814238041
1999,11,126.46807563959952
1999,12,155.12847608453836
2000,1,170.67208008898783
2000,2,117.83337041156841
2000,3,101.75895439377086
2000,4,57.17041156840935
2000,5,27.660177975528367
2000,6,26.506229143492774
2000,7,22.38553948832036
2000,8,38.43759733036708
2000,9,58.51179087875417
2000,10,93.77163515016686
2000,11,122.63604004449388
2000,12,160.1525027808677
2001,1,162.74149054505006
2001,2,134.0944382647386
2001,3,102.69510567296999
2001,4,57.39710789766407
2001,5,30.204004449388215
2001,6,20.161957730812013
2001,7,31.00177975528365
2001,8,39.732258064516124
2001,9,59.37474972191325
2001,10,95.79276974416017
2001,11,121.20889877641824
2001,12,170.7418242491658
2002,1,166.87052280311457
2002,2,125.31078976640714
2002,3,94.33092324805341
2002,4,55.852725250278084
2002,5,29.462625139043382
2002,6,18.637152391546163
2002,7,24.213681868743052
2002,8,36.616351501668525
2002,9,60.28464961067854
2002,10,87.54438264738599
2002,11,118.32525027808674
2002,12,147.47430478309232
2003,1,171.6508342602892
2003,2,133.97675194660735
2003,3,106.82391546162405
2003,4,57.62413793103449
2003,5,29.426473859844283
2003,6,26.42569521690768
2003,7,23.779977753058958
2003,8,39.54226918798666
2003,9,64.03715239154616
2003,10,100.88620689655173
2003,11,126.19121245828697
2003,12,152.90044493882093
2004,1,171.9523915461624
2004,2,127.13025583982204
2004,3,105.65728587319245
2004,4,55.806229143492786
2004,5,27.851501668520584
2004,6,21.614238042269196
2004,7,27.018464961067856
2004,8,38.778086763070085
2004,9,64.6642936596218
2004,10,84.20478309232482
2004,11,110.68298109010011
2004,12,153.08375973303671
2005,1,172.71268075639605
2005,2,127.48353726362626
2005,3,102.5086763070078
2005,4,60.80723025583982
2005,5,30.30967741935484
2005,6,20.63748609566185
2005,7,26.663626251390436
2005,8,36.54493882091213
2005,9,60.67041156840934
2005,10,91.09644048943268
2005,11,121.44204671857622
2005,12,150.42936596218019
2006,1,169.16918798665185
2006,2,126.95450500556174
2006,3,105.17530589543935
2006,4,60.81034482758621
2006,5,30.012013348164636
2006,6,22.253392658509455
2006,7,26.9503893214683
2006,8,41.65862068965518
2006,9,63.84716351501669
2006,10,88.30723025583983
2006,11,127.77530589543936
2006,12,149.61056729699666
2007,1,168.77942157953282
2007,2,121.64983314794216
2007,3,101.80255839822027
2007,4,59.745939933259194
2007,5,28.226585094549495
2007,6,18.665406006674083
2007,7,22.755394883203564
2007,8,33.92068965517242
2007,9,62.30745272525028
2007,10,91.72491657397104
2007,11,128.7706340378198
2007,12,152.24771968854284
2008,1,171.42269187986653
2008,2,122.87397107897664
2008,3,104.08075639599554
2008,4,61.358286985539486
2008,5,31.25572858731925
2008,6,19.634927697441604
2008,7,27.534816462736373
2008,8,38.3797552836485
2008,9,66.6511679644049
2008,10,99.10177975528366
2008,11,133.29721913236932
2008,12,156.91401557285877
2009,1,180.56362625139047
2009,2,135.38631813125696
2009,3,115.83437152391548
2009,4,67.18387096774192
2009,5,31.226028921023364
2009,6,22.101112347052286
2009,7,25.0678531701891
2009,8,37.59621802002224
2009,9,62.44482758620691
2009,10,90.65661846496107
2009,11,110.14627363737486
2009,12,145.02769744160176
2010,1,176.3006674082314
2010,2,124.40923248053392
2010,3,109.53993325917689
2010,4,61.29499443826475
2010,5,29.43392658509455
2010,6,22.86106785317019
2010,7,25.46084538375973
2010,8,37.389432703003344
2010,9,63.84349276974416
2010,10,92.88520578420469
2010,11,123.04783092324804
2010,12,147.37875417130144
2011,1,164.34816462736373
2011,2,123.84249165739712
2011,3,100.90111234705228
2011,4,64.9958843159066
2011,5,30.133704115684097
2011,6,22.18320355951057
2011,7,24.789877641824255
2011,8,35.73526140155729
2011,9,66.5754171301446
2011,10,95.15928809788653
2011,11,124.21779755283649
