Return Flow,Return Flow from AP_AC_08 to RIO CHOAPA,Return Flow from EMB_CORRALES_CHOAPA1 to RIO CHOAPA,Return Flow from EMB_CORRALES_CHOAPA2 to RIO CHOAPA,Return Flow from REST_MPL_AC_050 to RIO CHOAPA,Return Flow from REST_MPL_AC_051 to RIO CHOAPA,Return Flow from REST_MPL_AC_08 to RIO CHOAPA,Return Flow from REST_MPL_AC_09 to RIO CHOAPA,Return Flow from RQ_EMB to EST. CAMISAS
sept-19,0.0262073,0.36504,1.66296,0.044616,0.044616,0.044616,0.044616,0.0507
oct-19,0.0253619,0.317938,1.44838,0.0431768,0.0431768,0.0431768,0.0431768,0.0490645
nov-19,0.0262073,0.18252,0.83148,0.044616,0.044616,0.044616,0.044616,0.0507
dic-19,0.0253619,0,0,0.0421955,0.0421955,0.0421955,0.0421955,0.0490645
ene-20,0.0253619,0,0,0.0421955,0.0421955,0.0421955,0.0421955,0.0490645
feb-20,0.027111,0,0,0.0451055,0.0451055,0.0451055,0.0451055,0.0524483
mar-20,0.0253619,0,0,0.0421955,0.0421955,0.0421955,0.0421955,0.0490645
abr-20,0.0267314,0,0,0.0507,0.0507,0.0507,0.0507,0.0507
may-20,0.0258691,0,0,0.0441581,0.0441581,0.0441581,0.0441581,0.0490645
jun-20,0.0267314,0.036504,0.166296,0.043602,0.043602,0.043602,0.043602,0.0507
jul-20,0.0258691,0.264948,1.20699,0.0461206,0.0461206,0.0461206,0.0461206,0.0490645
ago-20,0.0258691,0.353265,1.60932,0.0461206,0.0461206,0.0461206,0.0461206,0.0490645
sept-20,0.0267314,0.17365,0.79107,0.04056,0.04056,0.04056,0.04056,0.0242462
oct-20,0.0258691,0,0,0,0,0,0,0.0490645
nov-20,0.0267314,0,0,0,0,0,0,0.0507
dic-20,0.0258691,0,0,0,0,0,0,0
ene-21,0.0258691,0,0,0.03042,0.03042,0.03042,0.03042,0
feb-21,0.0286408,0,0,0.0478029,0.0478029,0.0478029,0.0478029,0
mar-21,0.0258691,0,0,0.0431768,0.0431768,0.0431768,0.0431768,0
