Sources and Destinations,Decrease in Storage for EMB_CORRALES,Increase in Storage for EMB_CORRALES,Inflow from Upstream,Outflow to Downstream,Outflow to EMB_CORRALES_CHOAPA1,Outflow to EMB_CORRALES_CHOAPA2,Outflow to EMB_CORRALES_EVAP,Outflow to RQ_EMB,Sum
nov-10,,-0.382967,0.688,0,-0.010069,-0.04587,-0.198394,-0.0507,2.61423E-15
dic-10,1.02776,,0.330229,-0.0431781,-0.21777,-0.992066,-0.0559141,-0.0490645,-1.70697E-15
ene-11,1.45428,,0.709,-0.0279596,-0.368455,-1.67852,-0.0392883,-0.0490645,2.52576E-15
feb-11,1.68743,,0.898,-0.00510225,-0.443964,-2.0225,-0.059538,-0.0543214,-6.4098E-16
mar-11,1.59091,,0.646,-0.0209268,-0.383212,-1.74574,-0.0379596,-0.0490645,-2.23432E-15
abr-11,1.2306,,0.661,0,-0.329199,-1.49969,-0.0120133,-0.0507,-1.36176E-15
may-11,0.139183,,0.572,0,-0.117734,-0.536344,-0.00804046,-0.0490645,7.97973E-17
jun-11,,-0.573768,0.663,0,0,0,-0.0385322,-0.0507,0
jul-11,,-0.827923,0.95,0,-0.00387451,-0.0176506,-0.0514876,-0.0490645,1.04517E-16
ago-11,,-0.737783,0.883998,0,-0.00162957,-0.00742362,-0.088097,-0.0490645,-2.00035E-15
sept-11,,-0.552721,0.793,-0.00137567,-0.00246402,-0.011225,-0.174515,-0.0507,5.79614E-16
oct-11,,-0.525025,0.775,-0.0477487,-0.00603968,-0.0275141,-0.119608,-0.0490645,2.94903E-16
nov-11,,-0.531977,0.763,-0.0527545,-0.0143643,-0.0654375,-0.0477664,-0.0507,-7.44196E-16
dic-11,,-0.394909,0.742,-0.0484749,-0.0408021,-0.185876,-0.0228731,-0.0490645,-6.21031E-16
ene-12,1.47317,,0.754,-0.0472843,-0.37756,-1.72,-0.0332685,-0.0490645,-6.10623E-16
feb-12,2.53984,,0.728176,-0.0382963,-0.566871,-2.58241,-0.0279845,-0.0524483,-2.94903E-16
mar-12,2.27255,,0.608347,-0.030845,-0.503334,-2.29296,-0.00469416,-0.0490645,7.90167E-16
abr-12,1.37201,,0.641,0,-0.348279,-1.5866,-0.0274271,-0.0507,7.38992E-16
may-12,0.0989463,,0.58,0,-0.105182,-0.479161,-0.0455392,-0.0490645,9.64506E-16
jun-12,,-0.463586,0.577,0,-0.00261612,-0.0119179,-0.0481804,-0.0507,2.1207E-16
jul-12,,-0.471871,0.595,0,-0.00270646,-0.0123294,-0.0590285,-0.0490645,6.21898E-16
ago-12,,-0.483433,0.626,0,-0.00368079,-0.016768,-0.0730537,-0.0490645,-1.21647E-15
sept-12,,-0.402219,0.613,0,-0.00439265,-0.020011,-0.135678,-0.0507,1.01568E-15
oct-12,,-0.47191,0.691,0,-0.00711657,-0.0324199,-0.130489,-0.0490645,-1.86396E-15
nov-12,,-0.55789,0.713,0,-0.011225,-0.051136,-0.0420493,-0.0507,-1.09288E-15
dic-12,,-0.072747,0.65,0,-0.0854102,-0.389091,-0.0536871,-0.0490645,-2.59515E-15
ene-13,1.26256,,0.676,-0.00580855,-0.325003,-1.48057,-0.0781133,-0.0490645,5.62918E-16
feb-13,1.36639,,0.811,-0.00049405,-0.37547,-1.71047,-0.0366341,-0.0543214,-1.06252E-17
mar-13,1.35469,,0.510144,-0.00580399,-0.325003,-1.48057,-0.00439145,-0.0490645,7.47666E-16
abr-13,1.13623,,0.601,0,-0.301158,-1.37194,-0.0134326,-0.0507,7.5287E-16
may-13,0.172744,,0.506,0,-0.108412,-0.493878,-0.0273883,-0.0490645,1.34615E-15
jun-13,,-0.44469,0.55,0,-0.00181912,-0.00828708,-0.0445037,-0.0507,6.23416E-16
jul-13,,-0.493044,0.601,0,-0.00300845,-0.0137051,-0.0421773,-0.0490645,8.88612E-16
ago-13,,-0.470707,0.611,0,-0.00307682,-0.0140166,-0.0741346,-0.0490645,4.32814E-16
sept-13,,-0.391462,0.578,0,-0.00914425,-0.0416571,-0.0850362,-0.0507,-6.26235E-16
oct-13,,-0.582744,0.707,0,-0.00869487,-0.0396099,-0.0268869,-0.0490645,-1.52656E-16
nov-13,,-0.495598,0.675,0,-0.0105071,-0.0478655,-0.0703296,-0.0507,6.80012E-16
dic-13,,-0.574608,0.737,-0.0127257,-0.0150707,-0.0686555,-0.0168756,-0.0490645,3.93782E-16
ene-14,0.506746,,0.708,-0.00580855,-0.20156,-0.918219,-0.0400939,-0.0490645,-2.00361E-16
feb-14,1.31598,,0.843,-0.00049405,-0.374303,-1.70516,-0.0246975,-0.0543214,-4.47775E-16
mar-14,1.41843,,0.618,-0.00580399,-0.350894,-1.59852,-0.0321462,-0.0490645,2.73219E-16
abr-14,1.46906,,0.661,0,-0.372408,-1.69652,-0.01043,-0.0507,1.21431E-17
may-14,0.919315,,0.572,0,-0.258008,-1.17537,-0.00886981,-0.0490645,4.83988E-16
jun-14,,-0.596271,0.663,0,0,0,-0.0160292,-0.0507,-2.28983E-16
jul-14,,-0.870971,0.95,0,0,0,-0.029964,-0.0490645,-7.28584E-17
ago-14,,-0.784104,0.883998,0,0,0,-0.0508296,-0.0490645,-5.55112E-17
sept-14,,-0.661265,0.793,0,0,0,-0.0810355,-0.0507,5.96745E-16
oct-14,,-0.649589,0.775,0,0,0,-0.0763463,-0.0490645,5.41234E-16
nov-14,,-0.509628,0.57433,0,0,0,-0.0140018,-0.0507,3.1225E-16
dic-14,0.116496,,0.242,-0.0914823,-0.0353265,-0.160932,-0.0216912,-0.0490645,8.01442E-16
ene-15,1.50392,,0.254,-0.23168,-0.264948,-1.20699,-0.00524443,-0.0490645,1.82146E-16
feb-15,1.64764,,0.594082,-0.0036376,-0.391114,-1.78174,-0.0109023,-0.0543214,5.55979E-16
mar-15,1.49425,,0.548632,-0.00952746,-0.353265,-1.60932,-0.0217077,-0.0490645,-1.12757E-16
abr-15,1.15168,,0.729454,0,-0.328536,-1.49666,-0.00523467,-0.0507,3.53016E-16
may-15,,-0.156719,1.18783,0,-0.176632,-0.804658,-0.000759477,-0.0490645,5.48606E-17
jun-15,,-1.17998,1.23134,0,0,0,-0.00065643,-0.0507,1.7228E-16
jul-15,,-1.90262,1.96714,0,0,0,-0.0154584,-0.0490645,-4.51028E-17
ago-15,,-2.03264,2.126,0,0,0,-0.0443002,-0.0490645,3.46945E-16
sept-15,,-1.96429,2.113,0,0,0,-0.098008,-0.0507,-7.63278E-16
oct-15,,-1.98858,2.191,0,0,0,-0.153358,-0.0490645,-2.77556E-17
nov-15,,-1.8725,2.213,-0.0794048,0,0,-0.210395,-0.0507,-9.29812E-16
dic-15,,-1.62425,2,-0.0836282,-0.0353265,-0.160932,-0.0468017,-0.0490645,4.92661E-16
ene-16,,-0.361384,2,-0.0829351,-0.264948,-1.20699,-0.0346806,-0.0490645,1.66533E-16
